Experiment,Run,Decrement,Strategy,PI,RS
2,90,FALSE,Revealers,6806.86,7.18
2,91,FALSE,Concealers,7703.46,7.6
2,91,FALSE,Revealers,7169.8,7.2
2,92,FALSE,Concealers,7293.7,7.36
2,92,FALSE,Revealers,7212,7.28
2,93,FALSE,Concealers,7359.7,7.44
2,93,FALSE,Revealers,6976,7.22
2,94,FALSE,Concealers,7768.06,7.62
2,94,FALSE,Revealers,6955.4,7.2
2,95,FALSE,Concealers,7905.86,7.64
2,95,FALSE,Revealers,7603.64,7.52
2,96,FALSE,Concealers,6920.84,7.22
2,96,FALSE,Revealers,7207.88,7.36
2,97,FALSE,Concealers,7476.64,7.4
2,97,FALSE,Revealers,7860.64,7.7
2,98,FALSE,Concealers,7458.18,7.52
2,98,FALSE,Revealers,8418.4,7.78
2,99,FALSE,Concealers,6929.24,7.2
2,99,FALSE,Revealers,7513.3,7.46
2,100,FALSE,Concealers,7656.04,7.58
2,100,FALSE,Revealers,7178.36,7.3
2,101,TRUE,Concealers,8222.14,7.76
2,101,TRUE,Revealers,7320.1,7.42
